Txhash,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
0x58f25c772420fb2e841648fdb8e0f5eab139fa58dae9bdcd7602580a0acca22c,Transfer,15661250,2022-10-02 15:06:23,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.02815517 ETH,0.00030042
0x47a3a25a3d6fa67854c6fcc560730f16af90ad6e57bb869516dccd5c6617e557,Transfer,15548223,2022-09-16 19:22:11,0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,Nanopool,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.14779266 ETH,0.00027572
0xcb820ddfb522a8b1cf0dfbaa2fab25faf0fcbbaa667a745f72025c6140d78445,Transfer,13510223,2021-10-29 05:16:34,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0xda4F457aAf8c3ca1cA903Bd6e81E0a1A8a33A263,,2,346.79721781 ETH,0.00340775
0xb44a7cb3b93f81439e7e9b17a3bfa329daf4fe367121ad619b50b420315a1c1f,Swap,13510188,2021-10-29 05:08:48,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0x881D40237659C251811CEC9c364ef91dC08D300C,Metamask: Swap Router,0 ETH,0.03841164
0xa5c0c486c53eb6d0e18ad2faad29e1086e786ac35d67ff6b06236297cd984036,Approve,13510188,2021-10-29 05:08:48,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,OMG Network: OMG Token,0 ETH,0.0068044
0xb8d6bf22a530750cf7ddb060330dd998f8bc2388d6ae5646e81b969989ccf25e,Transfer,12890580,2021-07-24 18:13:02,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.05001931 ETH,0.000021
0x02cbcbbc006ad3114c0f3de5090c7dc81124731af4891cb7affa7a7550f48aa4,Transfer,12722415,2021-06-28 12:02:38,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.04955395 ETH,0.000021
0x6e1db32077d61ddfe9f61d33ad6905cf0c2e1df59412a71f963f07705aa85af9,Transfer,12531088,2021-05-29 19:11:20,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.03109817 ETH,0.000021
0x5cb7ae99a182b0e7f9649c3c74c73caff906a918d75e42b2cced58f10e2c2fae,Transfer,12440771,2021-05-15 18:58:12,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.03850727 ETH,0.000021
0x26895fee9a7804e1fe19caf8d8b4f8a690f555e6405becd5f30a2b28bcf1210d,Transfer,12350041,2021-05-01 18:49:23,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.04037711 ETH,0.000021
0x2103a49b99943dfad81f00957b4c530e38a23fff174ce26a88ba7e7ab8c831d6,Transfer,12255952,2021-04-17 06:20:04,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,Ethermine,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,jadoo,0.01662403 ETH,0.000021
